date,cyclists
2/22/2016,1382
2/23/2016,1690
2/24/2016,1708
2/25/2016,1767
2/26/2016,1264
2/27/2016,954
2/28/2016,548
2/29/2016,1494
3/1/2016,965
3/2/2016,1464
3/3/2016,1552
3/4/2016,1233
3/5/2016,1355
3/6/2016,922
3/7/2016,1203
3/8/2016,1610
3/9/2016,1184
3/10/2016,1185
3/11/2016,1417
3/12/2016,853
3/13/2016,269
3/14/2016,1027
3/15/2016,1576
3/16/2016,1770
3/17/2016,1770
3/18/2016,1624
3/19/2016,1097
3/20/2016,728
3/21/2016,1311
3/22/2016,1796
3/23/2016,1251
3/24/2016,1161
3/25/2016,1538
3/26/2016,1383
3/27/2016,797
3/28/2016,1612
3/29/2016,2183
3/30/2016,2396
3/31/2016,2256
4/1/2016,2172
4/2/2016,1799
4/3/2016,1439
4/4/2016,1720
4/5/2016,1606
4/6/2016,2238
4/7/2016,2452
4/8/2016,2338
4/9/2016,1653
4/10/2016,1378
4/11/2016,2037
4/12/2016,1725
4/13/2016,1931
4/14/2016,1864
4/15/2016,1950
4/16/2016,1421
4/17/2016,1793
4/18/2016,2580
4/19/2016,2706
4/20/2016,2704
4/21/2016,2375
4/22/2016,1557
4/23/2016,1506
4/24/2016,1125
4/25/2016,2325
4/26/2016,2319
4/27/2016,2289
4/28/2016,2323
4/29/2016,1983
4/30/2016,1647
5/1/2016,1981
5/2/2016,2750
5/3/2016,2265
5/4/2016,2002
5/5/2016,2598
5/6/2016,2532
5/7/2016,1889
5/8/2016,1253
5/9/2016,2643
5/10/2016,2853
5/11/2016,2760
5/12/2016,2813
5/13/2016,2590
5/14/2016,1598
5/15/2016,1287
5/16/2016,2280
5/17/2016,2639
5/18/2016,2322
5/19/2016,2068
5/20/2016,2006
5/21/2016,1583
5/22/2016,1700
5/23/2016,1522
5/24/2016,2119
5/25/2016,2731
5/26/2016,2311
5/27/2016,1838
5/28/2016,699
5/29/2016,1670
5/30/2016,3412
5/31/2016,3105
6/1/2016,2714
6/2/2016,2439
6/3/2016,2898
6/4/2016,1820
6/5/2016,2104
6/6/2016,2839
6/7/2016,2836
6/8/2016,2295
6/9/2016,2394
6/10/2016,2091
6/11/2016,1421
6/12/2016,1759
6/13/2016,2053
6/14/2016,2026
6/15/2016,2339
6/16/2016,2460
6/17/2016,2368
6/18/2016,1070
6/19/2016,2471
6/20/2016,2596
6/21/2016,2697
6/22/2016,2410
6/23/2016,1542
6/24/2016,2073
6/25/2016,1933
6/26/2016,1996
6/27/2016,2728
6/28/2016,2876
6/29/2016,2876
6/30/2016,2497
7/1/2016,1856
7/2/2016,1978
7/3/2016,1829
7/4/2016,2310
7/5/2016,2477
7/6/2016,2900
7/7/2016,1557
7/8/2016,1899
7/9/2016,1638
7/10/2016,2146
7/11/2016,2465
7/12/2016,2585
7/13/2016,2791
7/14/2016,2718
7/15/2016,2601
7/16/2016,1798
7/17/2016,2044
7/18/2016,2424
7/19/2016,2525
7/20/2016,2797
7/21/2016,2896
7/22/2016,2122
7/23/2016,1923
7/24/2016,2397
7/25/2016,2551
7/26/2016,2830
7/27/2016,2949
7/28/2016,2638
7/29/2016,2448
7/30/2016,1770
7/31/2016,1947
8/1/2016,1907
8/2/2016,2160
8/3/2016,2682
8/4/2016,2725
8/5/2016,2503
8/6/2016,1847
8/7/2016,1525
8/8/2016,2535
8/9/2016,2424
8/10/2016,2410
8/11/2016,2742
8/12/2016,2540
8/13/2016,1993
8/14/2016,1996
8/15/2016,2722
8/16/2016,2865
8/17/2016,2488
8/18/2016,2610
8/19/2016,2474
8/20/2016,1694
8/21/2016,1553
8/22/2016,2653
8/23/2016,2838
8/24/2016,2684
8/25/2016,2655
8/26/2016,2314
8/27/2016,1751
8/28/2016,956
8/29/2016,2516
8/30/2016,2570
8/31/2016,1605
9/1/2016,1822
9/2/2016,1343
9/3/2016,1666
9/4/2016,1923
9/5/2016,1175
9/6/2016,1820
9/7/2016,2170
9/8/2016,2413
9/9/2016,2289
9/10/2016,1809
9/11/2016,1800
9/12/2016,2586
9/13/2016,2687
9/14/2016,2664
9/15/2016,2521
9/16/2016,2004
9/17/2016,546
9/18/2016,1482
9/19/2016,1510
9/20/2016,2302
9/21/2016,2557
9/22/2016,2446
9/23/2016,1425
9/24/2016,1439
9/25/2016,1257
9/26/2016,2297
9/27/2016,2398
9/28/2016,2400
9/29/2016,2215
9/30/2016,1958
10/1/2016,854
10/2/2016,1011
10/3/2016,1873
10/4/2016,1725
10/5/2016,2027
10/6/2016,1560
10/7/2016,1195
10/8/2016,338
10/9/2016,970
10/10/2016,1037
10/11/2016,2068
10/12/2016,1925
10/13/2016,986
10/14/2016,721
10/15/2016,226
10/16/2016,591
10/17/2016,1565
10/18/2016,1711
10/19/2016,1607
10/20/2016,1494
10/21/2016,1428
10/22/2016,836
10/23/2016,1141
10/24/2016,1654
10/25/2016,1902
10/26/2016,1195
10/27/2016,1465
10/28/2016,1674
10/29/2016,719
10/30/2016,874
10/31/2016,1279
11/1/2016,1548
11/2/2016,1080
11/3/2016,1979
11/4/2016,1544
11/5/2016,423
11/6/2016,1045
11/7/2016,1510
11/8/2016,2094
11/9/2016,1530
11/10/2016,1680
11/11/2016,674
11/12/2016,556
11/13/2016,411
11/14/2016,1675
11/15/2016,1492
11/16/2016,1623
11/17/2016,1678
11/18/2016,1381
11/19/2016,819
11/20/2016,734
11/21/2016,1715
11/22/2016,1134
11/23/2016,1589
11/24/2016,1235
11/25/2016,1341
11/26/2016,394
11/27/2016,357
11/28/2016,1594
11/29/2016,1497
11/30/2016,1254
12/1/2016,1330
12/2/2016,1032
12/3/2016,504
12/4/2016,695
12/5/2016,984
12/6/2016,273
12/7/2016,441
12/8/2016,478
12/9/2016,121
12/10/2016,231
12/11/2016,281
12/12/2016,537
12/13/2016,823
12/14/2016,849
12/15/2016,832
12/16/2016,731
12/17/2016,136
12/18/2016,202
12/19/2016,934
12/20/2016,745
12/21/2016,1103
12/22/2016,865
12/23/2016,451
12/24/2016,355
12/25/2016,163
12/26/2016,239
12/27/2016,326
12/28/2016,756
12/29/2016,421
12/30/2016,728
12/31/2016,230
1/1/2017,98
1/2/2017,173
1/3/2017,642
1/4/2017,794
1/5/2017,944
1/6/2017,845
1/7/2017,453
1/8/2017,285
1/9/2017,923
1/10/2017,589
1/11/2017,782
1/12/2017,883
1/13/2017,832
1/14/2017,495
1/15/2017,584
1/16/2017,1193
1/17/2017,1137
1/18/2017,1026
1/19/2017,1101
1/20/2017,1220
1/21/2017,849
1/22/2017,533
1/23/2017,1431
1/24/2017,1257
1/25/2017,1347
1/26/2017,1303
1/27/2017,1232
1/28/2017,826
1/29/2017,452
1/30/2017,1280
1/31/2017,1426
